NamBriefName,NamRoles_tab(1),NamLast
Kertesz,Author,Kertesz
Rohdendorf,Author,Rohdendorf
Verves,Author,Verves
Guerin-Meneville,Author,Guerin-Meneville
Lehr,Author,Lehr
Giglio-Tos,Author,Giglio-Tos
Dahlem,Author,Dahlem
Zumpt,Author,Zumpt
Kurahashi,Author,Kurahashi
Dear,Author,Dear
Szilady,Author,Szilady
Iide,Author,Iide
Brammer,Author,Brammer
Pleske,Author,Pleske
Hauser,Author,Hauser
Guyon,Author,Guyon
Achoy,Author,Achoy
Sourcouf,Author,Sourcouf
Shimer,Author,Shimer
Tothill,Author,Tothill
Emden,Author,Emden
Grunin,Author,Grunin
Senior-White,Author,Senior-White
Kroeber,Author,Kroeber
Webber,Author,Webber
Karl,Author,Karl
Naczi,Author,Naczi
